Saturday,12,September,2026,22:12:04:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G004,F0,G006,F0,G012,F0,G015,F0,G022,F0,G023,F0,G024,F0,G028,F0,G031,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00025,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00188-ENG102817,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,TIME,Loc. IDE00201-ENG102664,TIME,Loc. IDE00347,,,,,
,32.76,904,32.97,41,33.19,2,33.41,14.5,31.55,31.09,31.73,31.909,31.93,1017.56,32.13,1018.89,32.33,30847.168,32.56,13.47,,,,,
,34.88,909,35.09,41,35.30,2,35.50,14.5,33.63,31.13,33.84,29.059,34.07,1021.88,34.27,1022.21,34.48,29180.908,34.68,13.67,,,,,
,36.94,923,37.15,41,37.35,2,37.58,14.5,35.69,34.28,35.90,29.266,36.10,1023.78,36.32,1023.95,36.53,29333.496,36.73,13.50,,,,,
,39.06,922,39.25,41,39.47,2,39.69,14.5,37.80,34.47,37.99,29.456,38.20,1024.78,38.40,1024.61,38.61,29284.668,38.83,14.14,,,,,
,41.18,925,41.39,41,41.59,2,41.81,14.5,39.90,35.06,40.11,29.376,40.33,1025.44,40.57,1025.36,40.76,29382.324,40.97,14.05,,,,,
,43.23,927,43.44,41,43.66,3,43.87,14.5,42.00,34.41,42.20,29.346,42.40,1025.94,42.60,1026.02,42.82,29431.152,43.02,14.27,,,,,
,45.37,924,45.58,42,45.81,3,45.99,14.5,44.08,34.66,44.32,29.425,44.52,1026.35,44.73,1026.27,44.94,29461.670,45.16,13.91,,,,,
,47.44,921,47.66,42,47.88,1,48.10,14.5,46.20,34.50,46.40,29.364,46.60,1026.27,46.82,1026.10,47.04,29364.014,47.22,13.97,,,,,
,49.61,884,49.82,42,50.03,2,50.25,16.9,48.33,42.63,48.56,30.963,48.77,1029.09,48.98,1030.50,49.19,31219.482,49.40,13.62,,,,,
,51.72,913,51.94,42,52.16,3,52.37,14.5,50.45,63.84,50.66,33.984,50.87,1040.03,51.08,1038.96,51.32,32409.668,51.51,13.80,,,,,
,53.83,912,54.05,42,54.25,0,54.47,14.5,52.57,34.16,52.77,29.083,52.98,1028.76,53.18,1028.84,53.38,29168.701,53.60,13.06,,,,,
,56.01,789,56.21,42,56.42,0,56.62,14.5,54.69,34.50,54.91,28.284,55.13,1020.05,55.35,1018.14,55.58,28448.486,55.82,11.17,,,,,
,58.09,784,58.29,43,58.50,0,58.72,14.5,56.82,33.34,57.03,28.101,57.23,1012.92,57.43,1012.92,57.65,28057.861,57.85,11.32,,,,,
,60.26,782,60.47,43,60.69,0,60.91,14.5,58.94,32.09,59.16,28.003,59.38,1011.84,59.61,1011.51,59.84,28039.551,60.05,11.33,,,,,
,62.36,780,62.59,43,62.77,0,62.98,14.5,61.12,32.22,61.33,28.003,61.53,1011.10,61.73,1011.43,61.93,27972.412,62.14,11.42,,,,,
,64.43,782,64.63,43,64.86,0,65.10,14.5,63.18,31.75,63.38,27.991,63.60,1011.43,63.82,1011.10,64.02,27990.723,64.22,10.90,,,,,
,66.61,780,66.84,43,67.05,0,67.27,14.5,65.30,31.66,65.52,27.899,65.74,1011.01,65.96,1010.68,66.17,27984.619,66.38,10.94,,,,,
,68.73,782,68.93,44,69.14,0,69.36,14.5,67.48,31.63,67.69,28.015,67.90,1010.85,68.11,1011.43,68.33,27996.826,68.53,11.45,,,,,
,70.86,780,71.10,44,71.30,0,71.52,14.5,69.59,31.44,69.79,28.046,69.99,1011.01,70.21,1011.18,70.43,28002.930,70.64,11.22,,,,,
,72.99,781,73.20,44,73.42,0,73.63,14.5,71.73,31.44,71.94,28.113,72.16,1011.10,72.37,1011.10,72.60,28021.240,72.79,11.04,,,,,
,75.07,782,75.26,44,75.47,0,75.69,20.0,73.84,31.44,74.04,28.021,74.24,1011.43,74.45,1011.43,74.65,28021.240,74.85,11.22,,,,,
,77.22,1030,77.44,44,77.65,5,77.86,22.0,75.91,42.41,76.13,35.278,76.36,1024.94,76.59,1029.34,76.78,40466.309,77.00,16.22,,,,,
,79.36,1168,79.60,44,79.80,9,80.01,22.4,78.10,75.94,78.30,42.609,78.51,1073.62,78.72,1074.61,78.94,43212.891,79.15,17.44,,,,,
,81.46,1398,81.67,45,81.90,11,82.13,23.5,80.21,47.16,80.42,49.005,80.63,1050.65,80.85,1093.02,81.05,50469.971,81.26,21.59,,,,,
,83.64,1519,83.88,45,84.08,12,84.30,27.1,82.37,32.19,82.56,50.409,82.77,1046.34,82.99,1086.72,83.21,52001.953,83.42,22.85,,,,,
,85.81,1654,86.02,45,86.23,13,86.43,31.0,84.52,39.13,84.74,61.395,84.95,1082.07,85.16,1083.07,85.39,61242.676,85.62,25.14,,,,,
,87.88,1818,88.12,45,88.32,14,88.53,29.8,86.64,47.41,86.87,64.447,87.06,1142.35,87.27,1097.25,87.48,66119.385,87.68,28.14,,,,,
,90.08,1827,90.29,45,90.50,14,90.72,27.8,88.75,38.47,88.97,61.761,89.19,1107.86,89.41,1138.71,89.64,61309.814,89.88,28.92,,,,,
,92.16,1832,92.38,46,92.62,14,92.82,27.8,90.93,31.75,91.14,60.065,91.37,1096.75,91.55,1117.65,91.76,59948.730,91.96,27.94,,,,,
,94.30,1794,94.51,46,94.72,14,94.93,26.7,93.03,28.22,93.24,58.344,93.45,1080.75,93.66,1095.59,93.89,57525.635,94.10,26.64,,,,,
,96.38,1746,96.59,46,96.79,13,97.00,26.7,95.14,29.63,95.36,57.031,95.55,1073.78,95.76,1075.44,95.96,57171.631,96.16,25.64,,,,,
,98.49,1700,98.70,46,98.90,13,99.12,26.7,97.22,25.97,97.44,55.084,97.66,1067.56,97.89,1065.32,98.11,55163.574,98.29,25.46,,,,,
,100.57,1715,100.78,47,101.00,14,101.22,26.3,99.31,30.97,99.51,55.792,99.71,1069.97,99.91,1062.09,100.15,56237.793,100.35,26.22,,,,,
,102.72,1706,102.93,47,103.15,13,103.37,23.1,101.44,28.38,101.66,56.415,101.89,1069.30,102.08,1070.71,102.30,56005.859,102.51,25.90,,,,,
,104.77,1530,104.97,47,105.19,11,105.42,22.4,103.55,21.22,103.75,51.300,103.96,1052.64,104.16,1075.36,104.38,46447.754,104.57,25.66,,,,,
,106.91,1326,107.12,47,107.33,10,107.54,26.7,105.63,20.59,105.84,45.740,106.05,1042.60,106.27,1145.84,106.48,50311.279,106.69,20.58,,,,,
,109.04,1525,109.24,48,109.45,12,109.66,28.6,107.75,36.44,107.97,54.614,108.19,1057.53,108.42,1108.77,108.65,56494.141,108.83,23.18,,,,,
,111.10,1632,111.32,48,111.52,13,111.72,26.3,109.87,39.31,110.07,58.124,110.27,1081.58,110.47,1084.64,110.68,57635.498,110.90,24.59,,,,,
,113.22,1646,113.44,48,113.68,13,113.88,29.0,111.94,31.56,112.17,56.079,112.37,1066.98,112.58,1067.56,112.80,56396.484,113.01,24.47,,,,,
,115.34,1731,115.54,48,115.75,14,115.96,29.0,114.10,41.59,114.31,60.309,114.51,1101.23,114.72,1079.59,114.93,60693.359,115.15,26.00,,,,,
,117.41,1762,117.60,49,117.80,14,118.02,29.0,116.18,37.28,116.41,59.119,116.59,1086.80,116.79,1098.08,116.99,59167.480,117.19,26.91,,,,,
,119.50,1776,119.71,49,119.93,14,120.14,29.8,118.24,32.00,118.45,61.237,118.68,1102.39,118.87,1102.14,119.07,61901.855,119.28,27.14,,,,,
,121.63,1790,121.84,49,122.04,14,122.24,27.8,120.35,32.81,120.56,62.445,120.78,1100.32,121.00,1105.21,121.22,61602.783,121.43,28.02,,,,,
,123.74,1770,123.95,49,124.18,14,124.37,26.3,122.44,28.94,122.68,59.747,122.87,1080.83,123.08,1095.26,123.30,59600.830,123.52,26.67,,,,,
,125.87,1758,126.07,50,126.28,14,126.50,28.6,124.58,29.44,124.80,58.350,125.01,1072.79,125.22,1077.43,125.44,59979.248,125.68,26.73,,,,,
,127.96,1804,128.18,50,128.39,14,128.60,28.6,126.72,33.38,126.93,61.328,127.14,1094.35,127.35,1078.76,127.55,61517.334,127.76,26.91,,,,,
,130.04,1806,130.24,50,130.45,14,130.67,27.5,128.81,31.91,129.01,61.609,129.21,1091.61,129.43,1087.88,129.63,61596.680,129.83,27.16,,,,,
,132.08,1780,132.29,50,132.49,14,132.71,28.6,130.85,28.31,131.05,59.393,131.26,1078.67,131.46,1085.81,131.68,59710.693,131.88,26.04,,,,,
,134.23,1803,134.44,50,134.68,14,134.87,25.5,132.94,32.03,133.18,61.853,133.37,1092.85,133.58,1086.30,133.80,60607.910,134.02,27.17,,,,,
,136.30,1549,136.51,51,136.71,11,136.93,20.8,135.07,23.25,135.27,54.010,135.48,1057.78,135.68,1083.81,135.89,43969.727,136.10,25.69,,,,,
,138.43,1409,138.64,51,138.86,12,139.08,31.0,137.13,28.91,137.35,52.429,137.57,1051.97,137.78,1133.15,138.00,56854.248,138.22,22.19,,,,,
,140.54,1768,140.74,51,140.94,14,141.16,29.8,139.29,54.44,139.50,67.145,139.71,1120.88,139.93,1130.08,140.13,67565.918,140.33,27.87,,,,,
,142.59,1827,142.80,51,143.02,14,143.23,30.2,141.35,34.56,141.55,63.739,141.75,1106.62,141.96,1115.57,142.17,63659.668,142.38,26.75,,,,,
,144.68,1855,144.91,51,145.10,14,145.30,29.0,143.43,36.47,143.66,64.178,143.86,1117.23,144.07,1111.51,144.27,64849.854,144.48,28.42,,,,,
,146.74,1819,146.94,51,147.16,14,147.36,25.1,145.51,31.13,145.71,61.517,145.93,1083.98,146.15,1107.36,146.33,60632.324,146.54,27.57,,,,,
,148.85,1593,149.05,51,149.26,12,149.46,20.8,147.58,24.28,147.79,56.207,148.00,1066.32,148.22,1083.65,148.45,52056.885,148.65,24.82,,,,,
,150.89,1361,151.10,52,151.31,11,151.52,27.5,149.68,19.16,149.87,47.491,150.07,1152.89,150.27,1151.72,150.47,51147.461,150.69,20.44,,,,,
,153.00,936,153.21,52,153.44,8,153.64,14.5,151.74,44.13,151.95,57.434,152.16,1057.20,152.37,1116.73,152.58,31835.938,152.79,14.80,,,,,
,155.07,913,155.27,52,155.47,1,155.69,14.5,153.85,34.56,154.05,32.288,154.26,1054.88,154.46,1052.06,154.68,32281.494,154.86,13.43,,,,,
,157.20,801,157.40,52,157.61,0,157.82,14.5,155.89,35.00,156.11,31.946,156.33,1046.17,156.55,1045.34,156.77,31817.627,156.98,12.01,,,,,
,159.27,775,159.49,52,159.71,0,159.94,14.5,158.02,48.97,158.23,32.770,158.45,1029.26,158.65,1028.84,158.85,32678.223,159.05,11.05,,,,,
,161.37,775,161.57,52,161.78,0,161.99,14.5,160.13,46.75,160.34,32.123,160.55,1025.77,160.76,1026.19,160.96,32165.527,161.19,10.88,,,,,
,163.43,779,163.63,53,163.85,0,164.06,14.5,162.20,47.44,162.40,32.111,162.60,1026.10,162.80,1025.86,163.01,32104.492,163.21,11.09,,,,,
,165.55,768,165.76,53,165.96,1,166.18,18.4,164.27,46.81,164.48,32.257,164.70,1026.68,164.90,1026.52,165.11,35870.361,165.33,10.45,,,,,
,167.60,1053,167.80,53,168.01,4,168.21,19.2,166.37,54.41,166.58,38.416,166.79,1047.50,166.99,1049.74,167.20,44964.600,167.40,17.29,,,,,
,169.66,1243,169.85,53,170.05,6,170.27,22.7,168.43,38.59,168.61,37.262,168.82,1056.62,169.02,1054.96,169.22,37841.797,169.44,17.27,,,,,
,171.73,1103,171.95,53,172.15,9,172.36,25.1,170.49,57.00,170.70,51.904,170.91,1043.10,171.12,1121.96,171.32,39880.371,171.53,14.97,,,,,
,173.80,1820,174.02,53,174.22,15,174.46,34.9,172.57,100.41,172.77,83.960,172.97,1222.54,173.19,1235.31,173.40,89990.234,173.60,32.50,,,,,
,175.95,1091,176.14,54,176.35,17,176.55,43.1,174.66,23.66,174.88,52.942,175.09,1263.91,175.30,1221.29,175.52,44415.283,175.73,16.87,,,,,
,178.05,1630,178.26,54,178.48,26,178.68,50.2,176.76,148.50,176.97,103.943,177.20,1600.06,177.39,1323.86,177.61,109393.311,177.83,34.91,,,,,
,180.15,2280,180.35,54,180.55,36,180.76,47.5,178.89,169.97,179.11,124.005,179.32,1925.01,179.53,1975.18,179.74,125128.174,179.96,61.82,,,,,
,182.23,1582,182.43,54,182.63,38,182.84,35.3,180.98,62.91,181.18,67.053,181.39,1355.20,181.60,1325.35,181.81,46368.408,182.02,28.17,,,,,
,184.30,1619,184.51,54,184.73,41,184.93,35.7,183.04,78.41,183.24,80.267,183.47,1170.38,183.66,1171.54,183.87,79876.709,184.08,26.42,,,,,
,186.40,1695,186.60,54,186.81,43,187.01,33.7,185.14,74.72,185.36,80.591,185.57,1222.12,185.78,1215.16,185.99,81365.967,186.22,28.01,,,,,
,188.46,1724,188.65,55,188.84,43,189.05,30.2,187.23,60.09,187.43,72.638,187.63,1151.06,187.83,1176.77,188.04,69677.734,188.24,27.05,,,,,
,190.49,1714,190.71,55,190.90,43,191.10,27.8,189.26,37.47,189.47,62.140,189.68,1096.17,189.88,1125.44,190.08,60620.117,190.29,25.62,,,,,
,192.62,1705,192.81,55,193.02,43,193.25,27.1,191.30,35.25,191.50,59.839,191.75,1082.65,191.99,1103.13,192.19,59088.135,192.41,25.77,,,,,
,194.73,1700,194.92,56,195.12,43,195.32,27.1,193.48,31.84,193.67,58.710,193.88,1078.76,194.09,1088.46,194.29,58782.959,194.51,25.25,,,,,
,196.79,1693,197.01,56,197.22,43,197.43,27.8,195.53,32.72,195.75,58.966,195.98,1078.76,196.16,1079.42,196.38,59045.410,196.59,25.42,,,,,
,198.89,1700,199.10,56,199.31,43,199.52,30.6,197.63,37.09,197.84,62.988,198.04,1114.91,198.26,1085.72,198.47,63592.529,198.68,25.87,,,,,
,200.96,1693,201.16,56,201.36,43,201.57,29.4,199.74,42.09,199.93,63.928,200.13,1111.92,200.33,1098.08,200.53,64282.227,200.75,25.44,,,,,
,203.03,1709,203.26,57,203.49,43,203.68,28.2,201.77,36.25,201.99,62.335,202.17,1100.56,202.39,1106.12,202.61,60559.082,202.82,25.50,,,,,
,205.17,1737,205.37,57,205.57,44,205.77,33.7,203.89,33.16,204.11,62.720,204.33,1125.85,204.54,1108.03,204.76,72717.285,204.98,26.37,,,,,
,207.21,1767,207.42,57,207.64,44,207.86,32.5,205.99,58.59,206.18,75.812,206.38,1167.64,206.58,1135.31,206.79,72235.107,207.00,27.42,,,,,
,209.36,1781,209.57,57,209.78,45,210.01,31.0,208.08,52.44,208.30,71.930,208.51,1160.18,208.72,1154.21,208.93,71795.654,209.14,28.12,,,,,
,211.50,1779,211.68,57,211.88,45,212.08,30.6,210.21,40.69,210.42,66.089,210.64,1133.48,210.85,1174.94,211.06,64678.955,211.27,28.78,,,,,
,213.52,1779,213.74,57,213.93,44,214.13,30.6,212.29,41.25,212.51,64.825,212.71,1129.59,212.91,1145.42,213.11,65216.064,213.32,27.40,,,,,
,215.61,1756,215.83,58,216.05,44,216.27,30.2,214.33,39.88,214.55,65.338,214.75,1126.60,214.95,1123.12,215.17,65234.375,215.39,27.46,,,,,
,217.77,1764,218.00,58,218.18,44,218.38,28.2,216.51,37.09,216.70,61.975,216.92,1097.16,217.14,1115.57,217.35,61376.953,217.56,27.52,,,,,
,219.82,1739,220.02,58,220.25,44,220.48,24.3,218.58,30.00,218.79,58.868,219.00,1077.02,219.21,1101.48,219.41,57513.428,219.61,25.56,,,,,
,221.88,1698,222.09,58,222.30,43,222.52,28.2,220.66,25.13,220.86,55.084,221.06,1066.65,221.28,1076.52,221.49,56658.936,221.67,25.02,,,,,
,224.01,1677,224.21,58,224.41,42,224.61,29.0,222.75,36.44,222.94,61.023,223.15,1096.50,223.37,1077.51,223.57,61077.881,223.78,24.65,,,,,
,226.05,1667,226.27,58,226.50,42,226.69,25.5,224.81,36.72,225.02,60.449,225.24,1081.58,225.43,1079.17,225.63,57983.398,225.83,25.00,,,,,
,228.17,1655,228.39,59,228.60,41,228.81,23.5,226.91,28.47,227.12,55.200,227.33,1063.50,227.55,1069.97,227.76,54357.910,227.98,24.12,,,,,
,230.26,1613,230.48,59,230.66,40,230.86,22.4,229.01,23.34,229.23,51.508,229.41,1057.03,229.63,1061.92,229.83,51403.809,230.04,24.36,,,,,
,232.37,1516,232.58,59,232.79,37,233.01,18.4,231.08,20.25,231.30,45.770,231.52,1061.26,231.76,1083.23,231.95,34637.451,232.16,23.70,,,,,
,234.51,1366,234.73,59,234.92,34,235.13,18.4,233.23,0.00,233.43,33.405,233.64,1096.83,233.85,1095.59,234.06,33093.262,234.28,20.53,,,,,
,236.57,1228,236.77,59,236.99,30,237.19,19.2,235.34,2.84,235.55,32.751,235.76,1085.56,235.98,1084.56,236.16,32598.877,236.37,18.42,,,,,
,238.70,1110,238.93,59,239.14,27,239.36,18.8,237.39,4.28,237.61,32.501,237.83,1072.04,238.05,1069.80,238.27,32141.113,238.50,16.52,,,,,
,240.82,976,241.02,59,241.24,24,241.43,14.5,239.57,2.28,239.79,30.859,240.01,1052.89,240.24,1051.31,240.41,30670.166,240.62,14.41,,,,,
,242.91,900,243.12,60,243.33,20,243.56,14.5,241.63,8.31,241.84,30.579,242.05,1042.02,242.25,1041.44,242.47,32012.939,242.69,12.90,,,,,
,245.02,912,245.25,60,245.45,17,245.67,14.5,243.77,33.06,243.97,32.166,244.18,1047.58,244.39,1048.24,244.59,32324.219,244.81,13.29,,,,,
,247.12,1170,247.32,60,247.52,16,247.74,29.8,245.88,33.72,246.09,32.324,246.29,1051.06,246.51,1050.98,246.71,32342.529,246.91,14.19,,,,,
,249.25,763,249.43,60,249.64,20,249.85,32.5,247.94,78.84,248.16,51.318,248.37,1122.29,248.58,1116.24,248.80,54888.916,249.02,10.18,,,,,
,251.29,899,251.50,60,251.71,23,251.91,28.6,250.07,111.81,250.27,55.444,250.50,1075.77,250.68,1076.27,250.88,57189.941,251.08,13.30,,,,,
,253.40,1198,253.61,60,253.83,25,254.05,14.5,252.11,115.66,252.32,59.515,252.53,1104.54,252.77,1111.18,253.00,57019.043,253.19,15.07,,,,,
,255.54,986,255.76,60,255.96,24,256.17,21.6,254.26,28.53,254.47,35.162,254.68,1073.86,254.89,1069.72,255.11,34289.551,255.33,13.75,,,,,
,257.67,1457,257.89,60,258.10,22,258.31,21.2,256.39,21.91,256.62,44.702,256.83,1130.41,257.04,1143.52,257.26,43115.234,257.46,23.52,,,,,
,259.74,1345,259.92,60,260.13,20,260.33,19.6,258.51,18.03,258.72,43.536,258.92,1183.40,259.11,1183.48,259.33,42828.369,259.52,21.54,,,,,
,261.84,1190,262.04,61,262.27,18,262.46,22.7,260.53,6.75,260.76,35.846,260.95,1128.26,261.17,1119.88,261.39,36029.053,261.61,18.24,,,,,
,263.89,1291,264.10,61,264.30,20,264.52,30.2,262.67,39.41,262.89,48.193,263.09,1044.43,263.29,1104.88,263.51,54602.051,263.69,19.21,,,,,
,265.97,1432,266.18,61,266.39,22,266.61,30.2,264.74,61.94,264.94,62.335,265.13,1064.25,265.33,1112.50,265.53,61944.580,265.77,21.79,,,,,
,268.08,1547,268.27,61,268.49,23,268.68,26.7,266.83,49.88,267.04,61.835,267.26,1068.39,267.45,1091.36,267.66,61566.162,267.87,22.95,,,,,
,270.19,1563,270.40,61,270.61,24,270.83,23.9,268.88,32.78,269.08,55.475,269.30,1055.29,269.53,1064.16,269.77,53369.141,269.97,22.78,,,,,
,272.31,1488,272.52,61,272.73,22,272.93,19.2,271.04,27.34,271.26,50.720,271.45,1047.17,271.67,1050.90,271.89,41418.457,272.10,23.03,,,,,
,274.40,1238,274.61,61,274.82,18,275.03,19.6,273.13,5.38,273.33,34.509,273.53,1120.46,273.77,1117.40,273.99,33483.887,274.19,18.82,,,,,
,276.51,1229,276.70,62,276.91,19,277.10,31.0,275.27,22.38,275.46,41.510,275.67,1104.88,275.88,1112.09,276.08,56054.688,276.29,18.30,,,,,
,278.58,1450,278.80,62,279.01,22,279.19,28.6,277.30,68.28,277.52,65.027,277.75,1074.53,277.94,1145.01,278.16,63983.154,278.37,22.64,,,,,
,280.61,1541,280.82,62,281.03,23,281.26,27.1,279.40,42.47,279.60,56.140,279.80,1058.44,280.01,1100.65,280.21,56195.068,280.41,22.82,,,,,
,282.75,1573,282.93,62,283.14,24,283.33,24.7,281.47,35.84,281.68,56.476,281.88,1064.91,282.09,1078.76,282.30,54956.055,282.52,23.07,,,,,
,284.76,1584,284.96,62,285.16,24,285.36,22.0,283.54,26.94,283.76,51.630,283.95,1053.96,284.15,1060.35,284.35,51232.910,284.56,22.88,,,,,
,286.86,1566,287.08,62,287.28,23,287.52,23.5,285.57,15.75,285.77,47.137,286.01,1045.92,286.20,1050.90,286.42,47033.691,286.64,22.80,,,,,
,288.92,1582,289.15,62,289.36,24,289.58,27.1,287.71,27.06,287.91,53.394,288.12,1061.10,288.32,1053.55,288.52,56475.830,288.74,23.10,,,,,
,291.05,1688,291.26,63,291.44,26,291.65,32.2,289.78,33.25,290.02,61.987,290.21,1074.11,290.42,1063.42,290.63,57769.775,290.84,24.28,,,,,
,293.09,1810,293.31,63,293.55,27,293.78,25.9,291.85,48.13,292.05,63.531,292.27,1101.23,292.47,1096.75,292.68,61712.646,292.88,26.90,,,,,
,295.22,1860,295.43,63,295.63,28,295.83,29.4,293.98,26.91,294.18,61.804,294.39,1085.64,294.60,1101.64,294.81,60302.734,295.03,27.92,,,,,
,297.27,1958,297.46,63,297.66,30,297.88,29.8,296.03,30.72,296.25,68.201,296.44,1169.80,296.65,1110.18,296.86,73620.605,297.05,30.01,,,,,
,299.30,1222,299.52,63,299.71,31,299.93,36.1,298.07,5.00,298.29,36.737,298.51,1160.18,298.69,1163.08,298.89,68682.861,299.11,19.55,,,,,
,301.43,1386,301.63,63,301.84,36,302.07,50.2,300.14,101.84,300.37,80.835,300.57,1212.59,300.79,1207.28,301.01,108239.746,301.20,25.10,,,,,
,303.57,1589,303.79,63,304.01,41,304.20,41.2,302.29,164.06,302.51,117.139,302.71,1572.20,302.92,1600.81,303.13,115917.969,303.35,35.53,,,,,
,305.65,1701,305.85,63,306.06,43,306.27,35.7,304.42,96.81,304.62,87.677,304.82,1247.00,305.04,1266.15,305.26,85491.943,305.45,26.85,,,,,
,307.72,1755,307.91,64,308.12,44,308.32,30.2,306.47,73.81,306.68,84.625,306.89,1241.28,307.11,1210.43,307.31,77056.885,307.54,28.40,,,,,
,309.77,1748,309.98,64,310.19,44,310.41,26.7,308.55,38.63,308.76,62.659,308.94,1109.60,309.15,1154.54,309.34,62292.480,309.56,27.04,,,,,
,311.91,1716,312.12,64,312.32,43,312.54,25.5,310.61,28.75,310.83,56.873,311.06,1073.78,311.30,1110.10,311.49,56274.414,311.70,25.56,,,,,
,313.96,1683,314.16,64,314.36,42,314.58,24.3,312.73,26.72,312.93,54.871,313.13,1066.32,313.33,1078.18,313.56,53894.043,313.77,24.36,,,,,
,316.11,1663,316.32,65,316.54,42,316.73,24.3,314.82,25.13,315.05,53.925,315.25,1063.42,315.47,1066.24,315.69,53686.523,315.91,24.06,,,,,
,318.16,1635,318.36,65,318.56,41,318.79,19.6,316.93,26.31,317.13,52.637,317.33,1061.51,317.56,1061.59,317.76,52252.197,317.96,23.40,,,,,
,320.26,1547,320.47,65,320.67,38,320.89,18.4,318.97,3.88,319.17,37.067,319.40,1134.89,319.61,1139.95,319.83,35864.258,320.06,24.53,,,,,
,322.31,1409,322.53,65,322.73,35,322.92,14.5,321.09,0.00,321.31,33.423,321.50,1118.81,321.69,1115.07,321.91,33294.678,322.10,22.12,,,,,
,324.43,1273,324.64,66,324.85,31,325.07,14.5,323.15,0.00,323.36,32.690,323.58,1097.99,323.78,1097.08,324.00,32586.670,324.23,19.41,,,,,
