Sunday,13,September,2026,21:09:46:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,,,,,,,,,,,,,,,,,
,4.74,3602,4.75,54,4.75,78.4,4.75,325.81,,,,,,,,,,,,,,,,,
,4.94,3728,4.94,56,4.95,78.4,4.95,325.50,,,,,,,,,,,,,,,,,
,5.13,3863,5.13,58,5.14,78.4,5.14,322.38,,,,,,,,,,,,,,,,,
,5.33,3991,5.34,60,5.34,78.4,5.34,318.81,,,,,,,,,,,,,,,,,
,5.52,4114,5.52,62,5.53,78.4,5.53,281.28,,,,,,,,,,,,,,,,,
,5.71,4222,5.72,63,5.72,78.4,5.72,266.50,,,,,,,,,,,,,,,,,
,5.91,4333,5.92,65,5.92,78.4,5.92,253.84,,,,,,,,,,,,,,,,,
,6.12,4443,6.13,67,6.13,78.4,6.13,240.81,,,,,,,,,,,,,,,,,
,6.33,4534,6.34,68,6.34,78.4,6.34,219.53,,,,,,,,,,,,,,,,,
,6.54,4621,6.54,69,6.54,78.4,6.54,208.38,,,,,,,,,,,,,,,,,
,6.73,4693,6.74,70,6.74,78.4,6.74,200.22,,,,,,,,,,,,,,,,,
,6.94,4754,6.95,72,6.95,78.4,6.95,162.41,,,,,,,,,,,,,,,,,
,7.14,4743,7.14,72,7.15,78.4,7.15,142.00,,,,,,,,,,,,,,,,,
,7.34,4815,7.35,72,7.35,78.4,7.35,113.03,,,,,,,,,,,,,,,,,
,7.54,4804,7.55,72,7.55,78.4,7.55,1.56,,,,,,,,,,,,,,,,,
,7.75,4754,7.75,72,7.76,78.4,7.76,117.34,,,,,,,,,,,,,,,,,
,7.95,4709,7.96,72,7.96,78.4,7.96,119.25,,,,,,,,,,,,,,,,,
,8.15,4768,8.16,72,8.16,78.4,8.16,121.13,,,,,,,,,,,,,,,,,
,8.36,4779,8.37,72,8.37,78.4,8.37,110.44,,,,,,,,,,,,,,,,,
,8.56,4822,8.57,72,8.57,78.4,8.57,0.00,,,,,,,,,,,,,,,,,
,8.76,4809,8.76,72,8.76,78.4,8.77,100.63,,,,,,,,,,,,,,,,,
,8.96,4803,8.96,71,8.96,78.8,8.96,103.41,,,,,,,,,,,,,,,,,
,9.16,4830,9.16,72,9.16,77.3,9.16,0.00,,,,,,,,,,,,,,,,,
,9.36,4649,9.36,72,9.36,14.5,9.36,7.97,,,,,,,,,,,,,,,,,
,9.55,4772,9.56,71,9.56,14.5,9.56,0.00,,,,,,,,,,,,,,,,,
,9.74,4630,9.75,70,9.75,14.5,9.75,0.00,,,,,,,,,,,,,,,,,
,9.94,4575,9.95,69,9.95,14.5,9.95,0.00,,,,,,,,,,,,,,,,,
,10.14,4541,10.14,69,10.14,14.5,10.14,0.00,,,,,,,,,,,,,,,,,
,10.33,4471,10.34,68,10.34,14.5,10.34,0.00,,,,,,,,,,,,,,,,,
,10.53,4447,10.54,67,10.54,14.5,10.54,0.00,,,,,,,,,,,,,,,,,
,10.73,4376,10.74,66,10.74,14.5,10.74,0.00,,,,,,,,,,,,,,,,,
,10.94,4099,10.95,66,10.95,14.5,10.95,0.00,,,,,,,,,,,,,,,,,
,11.14,3721,11.15,65,11.15,14.5,11.15,0.00,,,,,,,,,,,,,,,,,
,11.35,3368,11.35,65,11.36,14.5,11.36,0.00,,,,,,,,,,,,,,,,,
,11.55,3038,11.56,64,11.56,14.5,11.56,0.00,,,,,,,,,,,,,,,,,
,11.75,2743,11.76,64,11.76,14.5,11.76,0.00,,,,,,,,,,,,,,,,,
,11.95,2474,11.96,64,11.96,14.5,11.96,0.00,,,,,,,,,,,,,,,,,
,12.16,2307,12.17,63,12.17,14.5,12.17,0.00,,,,,,,,,,,,,,,,,
,12.37,2481,12.37,63,12.38,14.5,12.38,0.00,,,,,,,,,,,,,,,,,
,12.56,2485,12.57,62,12.57,14.5,12.57,0.00,,,,,,,,,,,,,,,,,
,12.76,2481,12.76,62,12.77,14.5,12.77,0.00,,,,,,,,,,,,,,,,,
,12.96,2461,12.97,62,12.97,14.5,12.97,0.00,,,,,,,,,,,,,,,,,
,13.17,2423,13.18,61,13.18,14.5,13.18,0.00,,,,,,,,,,,,,,,,,
,13.37,2410,13.37,61,13.38,14.5,13.38,0.00,,,,,,,,,,,,,,,,,
,13.57,2386,13.58,60,13.58,14.5,13.58,0.00,,,,,,,,,,,,,,,,,
,13.77,2366,13.77,60,13.78,14.5,13.78,0.00,,,,,,,,,,,,,,,,,
,13.96,2345,13.97,59,13.97,14.5,13.97,0.00,,,,,,,,,,,,,,,,,
,14.16,2325,14.17,58,14.17,14.5,14.17,0.00,,,,,,,,,,,,,,,,,
