Sunday,13,September,2026,21:03:23:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G023,F0,G024,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00190-ENG100128,TIME,Loc. IDE00191-ENG103684,,,,,,,,,,,,,
,24.09,3316,24.09,122,24.09,78.4,24.09,273.81,24.09,2289.93,24.09,2286.95,,,,,,,,,,,,,
,24.29,3332,24.29,123,24.30,78.4,24.30,274.06,24.30,2284.38,24.30,2289.02,,,,,,,,,,,,,
,24.50,3348,24.50,123,24.51,78.8,24.51,274.56,24.51,2279.73,24.51,2287.69,,,,,,,,,,,,,
,24.93,3288,24.94,124,24.94,14.5,24.94,5.47,24.94,2170.20,24.94,2144.16,,,,,,,,,,,,,
,25.12,3312,25.12,123,25.13,14.5,25.13,0.00,25.13,2019.04,25.13,2007.52,,,,,,,,,,,,,
,25.32,3323,25.32,122,25.33,14.5,25.33,0.00,25.33,1900.72,25.33,1889.61,,,,,,,,,,,,,
,25.53,3295,25.53,122,25.53,14.5,25.53,0.00,25.54,1786.38,25.54,1777.09,,,,,,,,,,,,,
,25.74,3267,25.74,121,25.75,14.5,25.75,0.00,25.75,1687.45,25.75,1680.07,,,,,,,,,,,,,
,25.94,3224,25.94,119,25.95,14.5,25.95,0.00,25.95,1622.45,25.95,1615.73,,,,,,,,,,,,,
,26.13,3174,26.14,117,26.14,14.5,26.14,0.00,26.14,1568.39,26.14,1563.58,,,,,,,,,,,,,
,26.35,3105,26.35,115,26.36,14.5,26.36,0.00,26.36,1520.54,26.36,1516.81,,,,,,,,,,,,,
,26.57,3038,26.58,112,26.58,14.5,26.58,0.00,26.58,1483.89,26.58,1481.32,,,,,,,,,,,,,
,26.79,2986,26.79,110,26.79,14.5,26.79,0.00,26.79,1458.52,26.79,1456.20,,,,,,,,,,,,,
,27.01,2916,27.01,108,27.01,14.5,27.01,0.00,27.01,1436.55,27.01,1434.31,,,,,,,,,,,,,
,27.22,2862,27.23,106,27.23,14.5,27.23,0.00,27.23,1414.66,27.23,1412.33,,,,,,,,,,,,,
,27.65,2746,27.65,101,27.65,14.5,27.66,0.00,27.66,1377.59,27.66,1376.18,,,,,,,,,,,,,
,27.85,2690,27.85,99,27.86,14.5,27.86,0.00,27.86,1364.16,27.86,1362.92,,,,,,,,,,,,,
,28.07,2636,28.08,97,28.08,14.5,28.08,0.00,28.08,1349.65,28.08,1348.65,,,,,,,,,,,,,
,28.29,2582,28.30,95,28.30,14.5,28.30,0.00,28.30,1335.22,28.30,1333.98,,,,,,,,,,,,,
,28.50,2534,28.51,94,28.51,14.5,28.51,0.00,28.51,1321.95,28.51,1321.21,,,,,,,,,,,,,
,28.72,2477,28.72,92,28.73,14.5,28.73,0.00,28.73,1310.93,28.73,1309.60,,,,,,,,,,,,,
,28.93,2427,28.94,90,28.94,14.5,28.94,0.00,28.94,1301.06,28.94,1299.48,,,,,,,,,,,,,
,29.13,2382,29.14,88,29.14,14.5,29.14,0.00,29.14,1291.27,29.14,1290.11,,,,,,,,,,,,,
,29.33,2338,29.34,86,29.34,14.5,29.34,0.00,29.34,1282.15,29.34,1280.66,,,,,,,,,,,,,
,29.53,2301,29.54,85,29.54,14.5,29.54,0.00,29.54,1272.04,29.54,1271.37,,,,,,,,,,,,,
,29.74,2263,29.74,84,29.75,14.5,29.75,0.00,29.75,1263.58,29.75,1262.75,,,,,,,,,,,,,
,30.55,2124,30.55,79,30.56,14.5,30.56,0.00,30.56,1231.91,30.56,1231.49,,,,,,,,,,,,,
,30.75,2108,30.75,78,30.76,14.5,30.76,0.00,30.76,1225.27,30.76,1224.53,,,,,,,,,,,,,
,30.96,2074,30.96,77,30.97,14.5,30.97,0.00,30.97,1219.30,30.97,1218.56,,,,,,,,,,,,,
,31.15,2062,31.16,76,31.16,14.5,31.16,0.00,31.16,1213.58,31.16,1213.08,,,,,,,,,,,,,
,31.36,2028,31.36,75,31.36,14.5,31.37,0.00,31.37,1208.19,31.37,1208.03,,,,,,,,,,,,,
,31.56,2010,31.57,74,31.57,14.5,31.57,0.00,31.57,1203.38,31.57,1202.88,,,,,,,,,,,,,
