Sunday,13,September,2026,21:06:29:00009-VCID:79F958E3F8D95B5B8C-802C,VCDS Version: Release 23.3.1 (x64),Data version: 20230421 DS346.2
03L 906 023 TB,ADVMB,R4 1.6l TDI   H43 9979,
,,G003,F0,G006,F0,G012,F0,G015,F0,G024,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00021,TIME,Loc. IDE00075,TIME,Loc. IDE00086,TIME,Loc. IDE00100-ENG101842,TIME,Loc. IDE00191-ENG103684,,,,,,,,,,,,,,,
,8.50,2980,8.50,45,8.51,78.8,8.51,326.19,8.51,2163.32,,,,,,,,,,,,,,,
,8.69,3127,8.70,46,8.70,78.8,8.70,322.56,8.70,2261.58,,,,,,,,,,,,,,,
,8.89,3285,8.90,49,8.90,78.8,8.90,330.56,8.90,2306.35,,,,,,,,,,,,,,,
,9.08,3405,9.08,51,9.09,79.2,9.09,332.22,9.09,2266.97,,,,,,,,,,,,,,,
,9.29,3553,9.29,53,9.29,79.2,9.29,322.78,9.29,2237.20,,,,,,,,,,,,,,,
,9.46,3667,9.46,55,9.47,78.8,9.47,324.53,9.47,2226.67,,,,,,,,,,,,,,,
,9.65,3803,9.66,57,9.66,79.2,9.66,321.94,9.66,2218.46,,,,,,,,,,,,,,,
,9.84,3936,9.84,59,9.85,78.8,9.85,318.84,9.85,2203.20,,,,,,,,,,,,,,,
,10.04,4058,10.04,61,10.05,79.2,10.05,303.63,10.05,2183.30,,,,,,,,,,,,,,,
,10.23,4191,10.23,63,10.24,78.8,10.24,271.38,10.24,2150.63,,,,,,,,,,,,,,,
,10.43,4305,10.43,65,10.44,79.2,10.44,258.28,10.44,2099.72,,,,,,,,,,,,,,,
,10.63,4416,10.64,66,10.64,78.8,10.64,244.63,10.64,2037.03,,,,,,,,,,,,,,,
,10.84,4519,10.85,68,10.85,78.8,10.85,214.75,10.85,1964.15,,,,,,,,,,,,,,,
,11.05,4610,11.05,69,11.06,78.8,11.06,204.34,11.06,1894.83,,,,,,,,,,,,,,,
,11.24,4700,11.24,70,11.25,78.8,11.25,197.41,11.25,1857.85,,,,,,,,,,,,,,,
,11.44,4758,11.45,71,11.45,65.9,11.45,166.69,11.45,1843.51,,,,,,,,,,,,,,,
,11.65,4713,11.66,72,11.66,65.9,11.66,143.44,11.66,1843.75,,,,,,,,,,,,,,,
,11.85,4695,11.86,72,11.86,14.5,11.86,7.28,11.86,1782.73,,,,,,,,,,,,,,,
,12.06,4390,12.07,72,12.07,14.5,12.07,0.00,12.07,1769.29,,,,,,,,,,,,,,,
,12.26,3964,12.26,72,12.27,14.5,12.27,0.00,12.27,1688.53,,,,,,,,,,,,,,,
,12.46,3602,12.46,72,12.47,14.5,12.47,0.00,12.47,1610.92,,,,,,,,,,,,,,,
,12.67,3250,12.67,71,12.68,14.5,12.68,0.00,12.68,1540.52,,,,,,,,,,,,,,,
,12.87,2930,12.88,71,12.88,14.5,12.88,0.00,12.88,1485.72,,,,,,,,,,,,,,,
,13.07,2653,13.08,70,13.08,14.5,13.08,0.00,13.08,1439.61,,,,,,,,,,,,,,,
,13.27,2389,13.28,69,13.28,14.5,13.28,0.00,13.28,1394.67,,,,,,,,,,,,,,,
,13.48,2130,13.48,68,13.49,14.5,13.49,0.00,13.49,1345.75,,,,,,,,,,,,,,,
,13.68,1909,13.68,67,13.69,14.5,13.69,0.00,13.69,1305.95,,,,,,,,,,,,,,,
,13.89,1690,13.90,65,13.90,14.5,13.90,0.00,13.90,1268.47,,,,,,,,,,,,,,,
,14.09,1463,14.09,64,14.10,14.5,14.10,0.00,14.10,1240.28,,,,,,,,,,,,,,,
,14.30,1250,14.30,63,14.31,14.5,14.31,0.00,14.31,1220.38,,,,,,,,,,,,,,,
,14.49,1068,14.49,63,14.50,14.5,14.50,0.00,14.50,1205.37,,,,,,,,,,,,,,,
,14.70,984,14.70,61,14.71,14.5,14.71,5.69,14.71,1179.00,,,,,,,,,,,,,,,
,14.90,961,14.90,60,14.91,14.5,14.91,5.00,14.91,1155.79,,,,,,,,,,,,,,,
,15.10,905,15.10,59,15.10,14.5,15.10,10.00,15.10,1138.62,,,,,,,,,,,,,,,
,15.31,894,15.31,58,15.32,14.5,15.32,16.16,15.32,1122.87,,,,,,,,,,,,,,,
,15.50,906,15.50,57,15.51,14.5,15.51,13.69,15.51,1109.69,,,,,,,,,,,,,,,
,15.70,904,15.70,56,15.70,14.5,15.70,14.66,15.70,1101.73,,,,,,,,,,,,,,,
,15.89,906,15.90,55,15.90,14.5,15.90,14.91,15.90,1093.93,,,,,,,,,,,,,,,
,16.08,909,16.08,54,16.09,14.5,16.09,14.78,16.09,1088.29,,,,,,,,,,,,,,,
,16.27,909,16.27,54,16.28,14.5,16.28,15.09,16.28,1083.81,,,,,,,,,,,,,,,
,16.47,913,16.48,53,16.48,14.5,16.48,14.63,16.48,1080.25,,,,,,,,,,,,,,,
,16.67,912,16.67,52,16.68,14.5,16.68,15.09,16.68,1077.26,,,,,,,,,,,,,,,
,16.86,917,16.86,52,16.87,14.5,16.87,14.47,16.87,1075.03,,,,,,,,,,,,,,,
,17.06,916,17.06,52,17.07,14.5,17.07,14.50,17.07,1073.12,,,,,,,,,,,,,,,
,17.25,913,17.26,51,17.26,14.5,17.26,14.47,17.26,1071.21,,,,,,,,,,,,,,,
,17.43,910,17.43,51,17.44,14.5,17.44,15.56,17.44,1070.63,,,,,,,,,,,,,,,
,17.62,914,17.63,50,17.63,14.5,17.63,15.09,17.63,1069.22,,,,,,,,,,,,,,,
,17.82,914,17.82,50,17.83,14.5,17.83,15.47,17.83,1068.64,,,,,,,,,,,,,,,
,18.04,915,18.04,49,18.05,14.5,18.05,15.50,18.05,1067.56,,,,,,,,,,,,,,,
,18.23,919,18.23,49,18.24,14.5,18.24,14.88,18.24,1066.82,,,,,,,,,,,,,,,
,18.43,919,18.43,49,18.43,14.5,18.43,14.88,18.43,1066.82,,,,,,,,,,,,,,,
,18.64,921,18.64,49,18.65,14.5,18.65,14.50,18.65,1066.07,,,,,,,,,,,,,,,
,18.84,921,18.85,49,18.85,14.5,18.85,14.69,18.85,1065.66,,,,,,,,,,,,,,,
,19.05,922,19.05,49,19.06,14.5,19.06,14.50,19.06,1065.24,,,,,,,,,,,,,,,
,19.25,921,19.26,49,19.26,14.5,19.26,14.69,19.26,1064.91,,,,,,,,,,,,,,,
,19.45,921,19.46,48,19.46,14.5,19.46,14.69,19.46,1064.99,,,,,,,,,,,,,,,
,19.64,919,19.64,48,19.65,14.5,19.65,14.88,19.65,1064.50,,,,,,,,,,,,,,,
,19.83,920,19.83,48,19.84,14.5,19.84,14.88,19.84,1064.00,,,,,,,,,,,,,,,
,20.02,917,20.02,48,20.03,14.5,20.03,15.53,20.03,1064.08,,,,,,,,,,,,,,,
,20.22,916,20.23,48,20.23,14.5,20.23,15.72,20.23,1064.25,,,,,,,,,,,,,,,
,20.42,917,20.42,47,20.43,14.5,20.43,15.94,20.43,1064.08,,,,,,,,,,,,,,,
,20.61,920,20.62,47,20.62,14.5,20.62,15.38,20.62,1063.75,,,,,,,,,,,,,,,
,20.81,919,20.82,47,20.82,14.5,20.82,15.38,20.82,1063.75,,,,,,,,,,,,,,,
,21.00,917,21.00,47,21.01,14.5,21.01,15.78,21.01,1063.25,,,,,,,,,,,,,,,
,21.19,917,21.20,47,21.20,14.5,21.20,15.97,21.20,1063.58,,,,,,,,,,,,,,,
,21.39,919,21.39,47,21.39,14.5,21.39,15.72,21.39,1063.25,,,,,,,,,,,,,,,
,21.58,918,21.58,47,21.58,14.5,21.58,15.94,21.58,1063.25,,,,,,,,,,,,,,,
,21.76,919,21.76,47,21.77,14.5,21.77,15.94,21.77,1062.67,,,,,,,,,,,,,,,
,21.95,917,21.95,46,21.96,14.5,21.96,16.28,21.96,1062.67,,,,,,,,,,,,,,,
,22.14,919,22.15,46,22.15,14.5,22.15,16.19,22.15,1063.00,,,,,,,,,,,,,,,
,22.33,919,22.33,46,22.34,14.5,22.34,16.00,22.34,1062.92,,,,,,,,,,,,,,,
,22.55,920,22.55,46,22.56,14.5,22.56,16.00,22.56,1062.59,,,,,,,,,,,,,,,
,22.75,917,22.75,46,22.76,14.5,22.76,16.44,22.76,1062.51,,,,,,,,,,,,,,,
,22.95,920,22.95,46,22.96,14.5,22.96,16.09,22.96,1062.67,,,,,,,,,,,,,,,
,23.16,918,23.16,46,23.16,14.5,23.16,16.34,23.16,1062.09,,,,,,,,,,,,,,,
,23.35,918,23.35,46,23.36,14.5,23.36,16.41,23.36,1062.42,,,,,,,,,,,,,,,
,23.56,919,23.56,45,23.57,14.5,23.57,16.22,23.57,1062.26,,,,,,,,,,,,,,,
,23.76,920,23.77,45,23.77,14.5,23.77,16.03,23.77,1062.59,,,,,,,,,,,,,,,
,23.96,919,23.96,45,23.97,14.5,23.97,16.41,23.97,1062.09,,,,,,,,,,,,,,,
,24.16,918,24.16,45,24.17,14.5,24.17,16.69,24.17,1061.84,,,,,,,,,,,,,,,
